"ID";"Sex";"Age";"Periods";"TotalSuicides_1";"Unmarried_2";"Married_3";"Widowed_4";"Divorced_5";"HangingStrangulation_6";"DrugsMedicinesAlcohol_7";"TrainMetro_8";"Drowning_9";"JumpingFromHeight_10"
"159";"T001038";"60300";"1965JJ00";"      77";"      61";"      15";"       0";"       1";"      19";"      17";"";"       8";"       1"
"160";"T001038";"60300";"1966JJ00";"      74";"      55";"      17";"       0";"       2";"      15";"      14";"";"       8";"       2"
"161";"T001038";"60300";"1967JJ00";"      82";"      63";"      18";"       0";"       1";"      13";"      18";"";"      12";"      10"
"162";"T001038";"60300";"1968JJ00";"      86";"      66";"      18";"       0";"       2";"      20";"      19";"";"       8";"       5"
"163";"T001038";"60300";"1969JJ00";"      84";"      56";"      27";"       0";"       1";"      17";"      32";"";"       7";"      10"
"164";"T001038";"60300";"1970JJ00";"     121";"      85";"      31";"       1";"       4";"      30";"      45";"";"      14";"      11"
"165";"T001038";"60300";"1971JJ00";"     125";"      94";"      27";"       0";"       4";"      27";"      46";"";"      14";"      10"
"166";"T001038";"60300";"1972JJ00";"     139";"     103";"      30";"       0";"       6";"      30";"      47";"";"      13";"      12"
"167";"T001038";"60300";"1973JJ00";"     160";"     120";"      32";"       0";"       8";"      33";"      47";"";"      12";"      26"
"168";"T001038";"60300";"1974JJ00";"     165";"     120";"      37";"       0";"       8";"      42";"      54";"";"       6";"      27"
"169";"T001038";"60300";"1975JJ00";"     184";"     138";"      36";"       0";"      10";"      56";"      42";"";"      12";"      23"
"170";"T001038";"60300";"1976JJ00";"     195";"     140";"      42";"       1";"      12";"      64";"      46";"";"      12";"      19"
"171";"T001038";"60300";"1977JJ00";"     205";"     138";"      59";"       0";"       8";"      73";"      49";"";"      12";"      23"
"172";"T001038";"60300";"1978JJ00";"     218";"     166";"      40";"       0";"      12";"      69";"      44";"";"       9";"      32"
"173";"T001038";"60300";"1979JJ00";"     204";"     143";"      48";"       0";"      13";"      65";"      28";"      27";"      14";"      28"
"174";"T001038";"60300";"1980JJ00";"     253";"     189";"      47";"       2";"      15";"      78";"      49";"      35";"      11";"      49"
"175";"T001038";"60300";"1981JJ00";"     217";"     155";"      48";"       0";"      14";"      72";"      33";"      43";"       8";"      26"
"176";"T001038";"60300";"1982JJ00";"     226";"     167";"      48";"       2";"       9";"      77";"      29";"      36";"      10";"      39"
